StationId,Place,Country,Latitude,Longitude
AP001,Visakhapatnam,India,17.7231276,83.3012842
AP005,Tirupati,India,13.6316368,79.4231711
AS001,Guwahati,India,26.1805978,91.753943
BR005,Patna,India,25.6093239,85.1235252
BR006,Gaya,India,24.67938895,85.01158329654393
BR007,Bhagalpur,India,25.286135350000002,87.13042293057262
BR008,Muzaffarpur,India,26.1482548,85.3316096785584
BR009,Purnia,India,25.7758723,87.4087666694604
BR010,Darbhanga,India,26.082989949999998,86.03249509324232
CH001,Chandigarh,India,30.7334421,76.7797143
DL001,New Delhi (Connaught Place),India,28.6314022,77.2193791
DL002,New Delhi (Karol Bagh),India,28.64308585,77.21926705734865
DL003,New Delhi (Chandni Chowk),India,,
DL004,New Delhi (Dwarka),India,28.574272,77.0653316
DL005,New Delhi (Rohini),India,28.7194508,77.067249
DL006,New Delhi (Janakpuri),India,28.6116644,77.10516538026366
DL007,New Delhi (Lajpat Nagar),India,28.5558548,77.2488354
DL008,New Delhi (Saket),India,28.523489650000002,77.2096309609309
DL009,New Delhi (Punjabi Bagh),India,28.669427,77.1280011
DL010,New Delhi (Vasant Kunj),India,28.5292495,77.1541335
DL011,New Delhi (Pitampura),India,28.6999706,77.1255147
DL012,New Delhi (Greater Kailash),India,28.5555167,77.2634965
DL013,New Delhi (Malviya Nagar),India,,
DL014,New Delhi (Ashok Vihar),India,28.6915549,77.1771146
DL015,New Delhi (Mehrauli),India,28.491507163947137,77.14330362098649
DL016,New Delhi (Defence Colony),India,28.5637192,77.22316661643453
DL017,New Delhi (Shahdara),India,,
DL018,New Delhi (Patparganj),India,,
DL019,New Delhi (Narela),India,,
DL020,New Delhi (Model Town),India,,
DL021,New Delhi (Rajouri Garden),India,28.6484714,77.1204602
DL022,New Delhi (Mayur Vihar),India,,
DL023,New Delhi (Sarita Vihar),India,28.506358300000002,77.33272830004418
DL024,New Delhi (Badarpur),India,,
DL025,New Delhi (Najafgarh),India,,
DL026,New Delhi (Moti Nagar),India,,
DL027,New Delhi (Paschim Vihar),India,28.66388035,77.08756498516502
DL028,New Delhi (Kalkaji),India,28.5435234,77.247977
DL029,New Delhi (Vivek Vihar),India,,
DL030,New Delhi (Rithala),India,,
DL031,New Delhi (Hari Nagar),India,28.6305256,77.1244808
DL032,New Delhi (Kapashera),India,28.5231419,77.08776554729158
DL033,New Delhi (Okhla),India,28.6250585,77.2172811
DL034,New Delhi (Tilak Nagar),India,,
DL035,New Delhi (Palam),India,28.5889102,77.0830764
DL036,New Delhi (Daryaganj),India,28.6301065,77.2174139
DL037,New Delhi (Bhikaji Cama Place),India,28.5702618,77.1878709
DL038,New Delhi (Hauz Khas),India,28.557584559020828,77.18782117461032
GJ001,Ahmedabad,India,23.0215374,72.5800568
HR011,Gurgaon,India,28.4646148,77.0299194
HR012,Faridabad,India,28.4031478,77.3105561
HR013,Panipat,India,29.3912753,76.9771675
HR014,Karnal,India,29.7255766,76.91069238886621
JH001,Ranchi,India,23.3700501,85.3250387
KA002,Bengaluru,India,12.9767936,77.590082
KA003,Mysuru,India,12.3051828,76.6553609
KA004,Hubballi,India,15.3518378,75.1379848
KA005,Mangaluru,India,12.8698101,74.8430082
KA006,Kalaburagi,India,17.240895700000003,76.76974392025645
KA007,Belagavi,India,16.15878455,74.88886197026468
KA008,Ballari,India,15.34836575,76.80552779174394
KA009,Davangere,India,14.4661266,75.9206361
KA010,Tumakuru,India,13.4192512,76.88100044465654
KA011,Udupi,India,13.5269784,74.87318787345797
KL002,Thiruvananthapuram,India,8.4882267,76.947551
KL004,Kochi,India,9.9674277,76.2454436
KL007,Kozhikode,India,11.2450558,75.7754716
KL008,Thrissur,India,10.5270099,76.214621
MH005,Mumbai (Churchgate),India,18.9354797,72.8271741
MH006,Mumbai (Borivali),India,19.229068,72.8573628
MH007,Mumbai (Andheri),India,19.1196976,72.8464205
MH008,Mumbai (Thane),India,19.0308262,73.0198537
MH009,Mumbai (Navi Mumbai),India,18.9909781,73.06555383389124
MH010,Pune,India,18.5213738,73.8545071
MH011,Nagpur,India,21.1498134,79.0820556
MH012,Nashik,India,20.0112475,73.7902364
MH013,Aurangabad,India,24.80332005,84.41101977690866
MH014,Kolhapur,India,16.7028412,74.2405329
ML001,Shillong,India,25.5760446,91.8825282
MP001,Bhopal,India,23.2584857,77.401989
MZ001,Aizawl,India,23.7433532,92.7382756
OD001,Bhubaneswar,India,20.2602964,85.8394521
OD002,Cuttack,India,20.4686,85.8792
PB001,Amritsar,India,31.6356659,74.8787496
RJ004,Jaipur,India,26.9154576,75.8189817
RJ005,Jodhpur,India,26.2967719,73.0351433
RJ006,Udaipur,India,24.578721,73.6862571
TG001,Hyderabad (Charminar),India,17.361602400000002,78.47464213773966
TG002,Hyderabad (Gachibowli),India,17.4436222,78.3519638
TG003,Hyderabad (Secunderabad),India,17.4337246,78.5006827
TG004,Warangal,India,17.9820644,79.5970954
TG005,Nizamabad,India,18.6732693,78.0978477
TG006,Karimnagar,India,18.4348122,79.1328042
TN001,Chennai,India,13.0836939,80.270186
TN002,Coimbatore,India,11.0018115,76.9628425
TN003,Madurai,India,9.9261153,78.1140983
TN004,Tiruchirappalli,India,10.8071144,78.6880939
TN005,Salem,India,44.9391565,-123.033121
UP012,Lucknow,India,26.8381,80.9346001
UP013,Kanpur,India,26.4609135,80.3217588
UP014,Varanasi,India,25.3356491,83.0076292
UP015,Agra,India,27.1752554,78.0098161
UP016,Meerut,India,29.0018557,77.76796714992041
WB007,Kolkata,India,22.5726459,88.3638953
WB008,Howrah,India,22.5736296,88.3251045
WB009,Darjeeling,India,27.0377554,88.263176
WB010,Siliguri,India,26.7164127,88.4309916
WB011,Durgapur,India,23.5350475,87.3380425
WB012,Asansol,India,23.6871297,86.9746587
WB013,Bardhaman,India,23.2495714,87.8681751
